DATE,INPUT,OUTPUT,USERNAME,INTENTS,ACTUAL INTENTS
11:08.1,hello,Awak hendaklah sentiasa tenang,ImranIsmael,,greetings
11:15.2,hello,Awak hendaklah sentiasa tenang,ImranIsmael,,greetings
11:30.9,bye,Awak hendaklah sentiasa tenang,ImranIsmael,,greetings
13:50.8,hello,"Hi, awak okay tak?",ImranIsmael,,greetings
14:00.0,hai,"Hai awak, awak okay?",ImranIsmael,,greetings
14:22.2,hi,"Hai, apa khabar?",ImranIsmael,,greetings
14:24.1,hey,Adakah awak perlukan sebarang bantuan?,ImranIsmael,,greetings
14:25.4,apa khabar?,"Hai, apa khabar?",ImranIsmael,,greetings
14:28.5,bye,Goodbye!,ImranIsmael,,goodbye
14:31.4,jumpa lagi,Selamat Tinggal,ImranIsmael,,goodbye
14:34.4,selamat tinggal,Okay jumpa lagi!,ImranIsmael,,goodbye
14:37.8,goodbye,Okay jumpa lagi!,ImranIsmael,,goodbye
14:40.2,siapa nama awak?,okBot,ImranIsmael,,name
14:45.3,siapa nama ni>,Awak boleh panggil saya okay bot,ImranIsmael,,name
14:48.4,nama awak apa?,Awak boleh panggil saya okay bot,ImranIsmael,,name
14:53.0,thank you tau okBot,"Takda masalah awak, saya ada okay!",ImranIsmael,,Thanks
14:57.5,thanks,"Takda masalah awak, saya ada okay!",ImranIsmael,,Thanks
14:59.0,ty okBot,Sama-sama awak,ImranIsmael,,Thanks
15:03.7,terima kasih okBot,"Takda masalah awak, saya ada okay!",ImranIsmael,,Thanks
15:10.3,saya rasa sangat tertekan ,"Hai, ini adalah permulaan yang baik ! Saya mengesyorkan awak mencari seseorang di kawasan awak yang bekerja dengan orang yang mengalami kemurungan.",ImranIsmael,,depression
15:23.8,harini saya tertekean,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael,,depression
15:33.4,saya tertekan,"Awak dah berjaya dengan langkah yang pertama. Ini adalah petanda yang bagus, awak sedang berusaha untuk mendapatkan bantuan.",ImranIsmael,,depression
15:42.7,saya tertekan,"Hai, ini adalah permulaan yang baik ! Saya mengesyorkan awak mencari seseorang di kawasan awak yang bekerja dengan orang yang mengalami kemurungan.",ImranIsmael,,depression
15:48.9,saya rasa seperti kehilangan diri saya,"Mungkin pemikiran awak memerlukan perhatian awak dan cara terbaik ialah memberi perhatian dan mengikutinya! Jika awak berada dalam masa yang sangat tertekan atau tidak menentu dalam hidup awak, maka cara terbaik adalah untuk memahami ketegangan awak rasa.",ImranIsmael,,depression2
15:58.4,saya rasa seperti tidak berharga kepada semua orang,"Mengubah perasaan awak adalah sesuatu yang sukar, terutamanya sendiri. Pastikan awak mempunyai seseorang yang boleh awak percayai dan awak boleh bercakap dengannya tentang perasaan awak. Contohnya menjadi rakan atau ahli keluarga .",ImranIsmael,,depression3
16:12.5,saya tidak berharga kepada semua orang!,"Mengubah perasaan awak adalah sesuatu yang sukar, terutamanya sendiri. Pastikan awak mempunyai seseorang yang boleh awak percayai dan awak boleh bercakap dengannya tentang perasaan awak. Contohnya menjadi rakan atau ahli keluarga .",ImranIsmael,,depression4
16:23.7,saya selalu mengidamkan kemurungan,Awak tertarik kepada kandungan yang menyedihkan dan negatif dan sukar untuk memahami sebabnya. Kadangkala kita  lakukan perkara yang pada zahirnya mungkin kelihatan bermasalah untuk melupakan sesuatu masalah lain,ImranIsmael,,
16:38.6,saya tidak selesa di tempat awam,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam hal ini!,ImranIsmael,,
16:49.1,saya kuat nervous di tempat awam,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam hal ini!,ImranIsmael,,
16:59.6,saya tidak selesa dengan orang lain,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam hal ini!,ImranIsmael,,
17:48.1,bagaimana nak kurangkan anxiety ni okBot?," Selalunya, herotan kognitif adalah masalahnya. Beberapa herotan kognitif yang biasa termasuk ""meramalkan yang paling teruk"" atau meramalkan masa depan. Saya nasihatkan awak membaca petua CBT (terapi tingkah laku kognitif), lembaran kerja, buku kecil dsb. dalam talian, atau hubungi ahli terapi CBT tempatan.",ImranIsmael,,
18:16.4,apakah cara untuk kurangkan kebimbangan?," Selalunya, herotan kognitif adalah masalahnya. Beberapa herotan kognitif yang biasa termasuk ""meramalkan yang paling teruk"" atau meramalkan masa depan. Saya nasihatkan awak membaca petua CBT (terapi tingkah laku kognitif), lembaran kerja, buku kecil dsb. dalam talian, atau hubungi ahli terapi CBT tempatan.",ImranIsmael,,
18:26.7,apakah cara terbaik untuk kurangkan anxiety," Selalunya, herotan kognitif adalah masalahnya. Beberapa herotan kognitif yang biasa termasuk ""meramalkan yang paling teruk"" atau meramalkan masa depan. Saya nasihatkan awak membaca petua CBT (terapi tingkah laku kognitif), lembaran kerja, buku kecil dsb. dalam talian, atau hubungi ahli terapi CBT tempatan.",ImranIsmael,,
18:43.5,saya bimbang tentang sesuatu,"Kebimbangan atau serangan panik boleh menjadi sangat menakutkan. Berikut ialah beberapa ""alat"" yang boleh awak gunakan yang akan membantu dalam jangka pendek: Menyibukkan fikiran awak dengan mendengar buku pada pita boleh membantu; Mengira ke belakang dari 100 dalam 7; Menamakan bawakr yang bermula dengan setiap huruf abjad; ",ImranIsmael,,
18:54.6,saya banyak berfikir tentang sesuatu,"Kebimbangan atau serangan panik boleh menjadi sangat menakutkan. Berikut ialah beberapa ""alat"" yang boleh awak gunakan yang akan membantu dalam jangka pendek: Menyibukkan fikiran awak dengan mendengar buku pada pita boleh membantu; Mengira ke belakang dari 100 dalam 7; Menamakan bawakr yang bermula dengan setiap huruf abjad; ",ImranIsmael,,
19:07.6,saya risau tentang sesuatu,"Kebimbangan atau serangan panik boleh menjadi sangat menakutkan. Berikut ialah beberapa ""alat"" yang boleh awak gunakan yang akan membantu dalam jangka pendek: Menyibukkan fikiran awak dengan mendengar buku pada pita boleh membantu; Mengira ke belakang dari 100 dalam 7; Menamakan bawakr yang bermula dengan setiap huruf abjad; ",ImranIsmael,,
19:14.6,adakah saya ada anxiety?,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael,,
19:23.7,adakah saya ada kebimbangan>,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael,,
19:41.1,bolehkah saya tau jika saya ada depression?,"Ya, awak boleh klik ujian PHQ-9 pada bahagian menu dan mengetahui skor awak",ImranIsmael,,
20:03.4,saya ada depression ke?,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael,,
20:09.0,macam mana nak kira score depression saya,"Ya, awak boleh klik ujian PHQ-9 pada bahagian menu dan mengetahui skor awak",ImranIsmael,,
20:22.7,macam mana nak tau tahap depression saya,"Ya, awak boleh klik ujian PHQ-9 pada bahagian menu dan mengetahui skor awak",ImranIsmael,,
20:30.8,saya ada anxiety ke?,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael,,
20:43.4,mana mana nak tau kalau saya ada anxiety?,"Ya, awak boleh klik ujian GAD-7 pada bahagian menu dan mengetahui skor awak",ImranIsmael,,
21:12.2,bolehkah saya mengetahui kalau saya ada anxiety?,"Ya, awak boleh klik ujian GAD-7 pada bahagian menu dan mengetahui skor awak",ImranIsmael,,
21:26.5,saya nak bunuh diri,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael,,
21:37.3,saya rasa macam nak bunuh diri,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael,,
21:48.9,saya rasa nak terjun bangunan,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael,,
21:55.4,saya nak kelar tangan,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael,,
21:59.8,saya nak terjun,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael,,
