DATE,INPUT,OUTPUT,USERNAME
2022-06-11 22:11:08.150265,hello,Awak hendaklah sentiasa tenang,ImranIsmael
2022-06-11 22:11:15.230469,hello,Awak hendaklah sentiasa tenang,ImranIsmael
2022-06-11 22:11:30.906968,bye,Awak hendaklah sentiasa tenang,ImranIsmael
2022-06-11 22:13:50.844323,hello,"Hi, awak okay tak?",ImranIsmael
2022-06-11 22:14:00.036672,hai,"Hai awak, awak okay?",ImranIsmael
2022-06-11 22:14:22.237424,hi,"Hai, apa khabar?",ImranIsmael
2022-06-11 22:14:24.080543,hey,Adakah awak perlukan sebarang bantuan?,ImranIsmael
2022-06-11 22:14:25.351190,apa khabar?,"Hai, apa khabar?",ImranIsmael
2022-06-11 22:14:28.499400,bye,Goodbye!,ImranIsmael
2022-06-11 22:14:31.400972,jumpa lagi,Selamat Tinggal,ImranIsmael
2022-06-11 22:14:34.409171,selamat tinggal,Okay jumpa lagi!,ImranIsmael
2022-06-11 22:14:37.830699,goodbye,Okay jumpa lagi!,ImranIsmael
2022-06-11 22:14:40.157342,siapa nama awak?,okBot,ImranIsmael
2022-06-11 22:14:45.350258,siapa nama ni>,Awak boleh panggil saya okay bot,ImranIsmael
2022-06-11 22:14:48.361872,nama awak apa?,Awak boleh panggil saya okay bot,ImranIsmael
2022-06-11 22:14:52.991506,thank you tau okBot,"Takda masalah awak, saya ada okay!",ImranIsmael
2022-06-11 22:14:57.471924,thanks,"Takda masalah awak, saya ada okay!",ImranIsmael
2022-06-11 22:14:59.044366,ty okBot,Sama-sama awak,ImranIsmael
2022-06-11 22:15:03.670326,terima kasih okBot,"Takda masalah awak, saya ada okay!",ImranIsmael
2022-06-11 22:15:10.291972,saya rasa sangat tertekan ,"Hai, ini adalah permulaan yang baik ! Saya mengesyorkan awak mencari seseorang di kawasan awak yang bekerja dengan orang yang mengalami kemurungan.",ImranIsmael
2022-06-11 22:15:23.824251,harini saya tertekean,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael
2022-06-11 22:15:33.422006,saya tertekan,"Awak dah berjaya dengan langkah yang pertama. Ini adalah petanda yang bagus, awak sedang berusaha untuk mendapatkan bantuan.",ImranIsmael
2022-06-11 22:15:42.731162,saya tertekan,"Hai, ini adalah permulaan yang baik ! Saya mengesyorkan awak mencari seseorang di kawasan awak yang bekerja dengan orang yang mengalami kemurungan.",ImranIsmael
2022-06-11 22:15:48.905221,saya rasa seperti kehilangan diri saya,"Mungkin pemikiran awak memerlukan perhatian awak dan cara terbaik ialah memberi perhatian dan mengikutinya! Jika awak berada dalam masa yang sangat tertekan atau tidak menentu dalam hidup awak, maka cara terbaik adalah untuk memahami ketegangan awak rasa.",ImranIsmael
2022-06-11 22:15:58.355282,saya rasa seperti tidak berharga kepada semua orang,"Mengubah perasaan awak adalah sesuatu yang sukar, terutamanya sendiri. Pastikan awak mempunyai seseorang yang boleh awak percayai dan awak boleh bercakap dengannya tentang perasaan awak. Contohnya menjadi rakan atau ahli keluarga .",ImranIsmael
2022-06-11 22:16:12.520933,saya tidak berharga kepada semua orang!,"Mengubah perasaan awak adalah sesuatu yang sukar, terutamanya sendiri. Pastikan awak mempunyai seseorang yang boleh awak percayai dan awak boleh bercakap dengannya tentang perasaan awak. Contohnya menjadi rakan atau ahli keluarga .",ImranIsmael
2022-06-11 22:16:23.657276,saya selalu mengidamkan kemurungan,Awak tertarik kepada kandungan yang menyedihkan dan negatif dan sukar untuk memahami sebabnya. Kadangkala kita  lakukan perkara yang pada zahirnya mungkin kelihatan bermasalah untuk melupakan sesuatu masalah lain,ImranIsmael
2022-06-11 22:16:38.579551,saya tidak selesa di tempat awam,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam hal ini!,ImranIsmael
2022-06-11 22:16:49.061941,saya kuat nervous di tempat awam,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam hal ini!,ImranIsmael
2022-06-11 22:16:59.640120,saya tidak selesa dengan orang lain,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam hal ini!,ImranIsmael
2022-06-11 22:17:48.061128,bagaimana nak kurangkan anxiety ni okBot?," Selalunya, herotan kognitif adalah masalahnya. Beberapa herotan kognitif yang biasa termasuk ""meramalkan yang paling teruk"" atau meramalkan masa depan. Saya nasihatkan awak membaca petua CBT (terapi tingkah laku kognitif), lembaran kerja, buku kecil dsb. dalam talian, atau hubungi ahli terapi CBT tempatan.",ImranIsmael
