DATE,INPUT,OUTPUT,INTENT,ACTUAL INTENT,TARGET,ACCURACY
17:08.7,hello,"Hi, awak okay tak?",greetings,greetings,1,1
17:20.8,hello2,"Hai awak, awak okay?",greetings,greetings,1,1
17:28.1,hai,"Hai awak, awak okay?",greetings,greetings,1,1
17:31.8,hi,"Hei, apa khabar?",greetings,greetings,1,1
17:33.0,hey,"Hei, apa khabar?",greetings,greetings,1,1
17:33.7,salam,"Hei, apa khabar?",greetings,greetings,1,1
17:36.3,apa khabar,Adakah awak perlukan sebarang bantuan?,greetings,greetings,1,1
17:39.4,hello,"Hi, awak okay tak?",greetings,greetings,1,1
17:42.0,goodbye,Goodbye!,goodbye,goodbye,1,1
17:46.7,jumpa lagi,Selamat Tinggal,goodbye,goodbye,1,1
17:49.4,selamat tinggal,Goodbye!,goodbye,goodbye,1,1
17:51.9,godbye,"Hai, apa khabar?",greetings,goodbye,0,0
17:54.5,bye2,"Hi, awak okay tak?",greetings,goodbye,0,0
17:55.7,bye2,"Hai, apa khabar?",greetings,goodbye,0,0
17:59.5,siapa nama awak?,Awak boleh panggil saya okay bot,name,name,1,1
18:03.1,nama awak apa?,Awak boleh panggil saya okay bot,name,name,1,1
18:06.9,siapa nama ni?,okBot,name,name,1,1
18:10.0,siapa ni>,"Hei, apa khabar?",greetings,name,0,0
18:12.9,thank you,Sama-sama awak,Thanks,Thanks,1,1
18:29.0,thanks,Sama-sama awak,Thanks,Thanks,1,1
18:31.2,ty tau okBot,"Takda masalah awak, saya ada okay!",Thanks,Thanks,1,1
18:33.6,terima kasih,"Takda masalah awak, saya ada okay!",Thanks,Thanks,1,1
18:36.8,saya sangat tertekan,"Hai, ini adalah permulaan yang baik ! Saya mengesyorkan awak mencari seseorang di kawasan awak yang bekerja dengan orang yang mengalami kemurungan.",depression,depression,1,1
18:41.5,saya rasa tertekean sangat harini,"Awak dah berjaya dengan langkah yang pertama. Ini adalah petanda yang bagus, awak sedang berusaha untuk mendapatkan bantuan.",depression,depression,1,1
18:53.5,saya rasa sungguh tertekan,"Hai, ini adalah permulaan yang baik ! Saya mengesyorkan awak mencari seseorang di kawasan awak yang bekerja dengan orang yang mengalami kemurungan.",depression,depression,1,1
19:14.6,saya kehilangan diri saya,"Mungkin pemikiran awak memerlukan perhatian awak dan cara terbaik ialah memberi perhatian dan mengikutinya! Jika awak berada dalam masa yang sangat tertekan atau tidak menentu dalam hidup awak, maka cara terbaik adalah untuk memahami ketegangan awak rasa.",depression2,depression2,1,1
19:25.5,saya nak cari diri saya ,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,depression2,0,0
19:39.1,saya nak cari diri saya ,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,depression2,0,0
19:44.1,saya nak cari diri saya semula,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,depression2,0,0
19:49.4,saya tidak berharga,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,depression3,0,0
20:45.3,saya tidak selesa dengan orang lain,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam pengalaman ini!,anxiety,anxiety,1,1
20:58.1,saya tidak berharga kepada semua orang,"Mengubah perasaan awak adalah sesuatu yang sukar, terutamanya sendiri. Pastikan awak mempunyai seseorang yang boleh awak percayai dan awak boleh bercakap dengannya tentang perasaan awak. Contohnya menjadi rakan atau ahli keluarga .",depression3,depression3,1,1
